ticker,start_date,end_date,sentiment_score
CHTR,2023-08-13,2023-08-19,0.08
VRSN,2023-08-13,2023-08-19,0.07
INCY,2023-08-13,2023-08-19,0
WDAY,2023-08-13,2023-08-19,0
ANSS,2023-08-13,2023-08-19,0
CPRT,2023-08-13,2023-08-19,0
UAL,2023-08-13,2023-08-19,0
TTWO,2023-08-13,2023-08-19,0
REG,2023-08-13,2023-08-19,0.0
HPE,2023-08-13,2023-08-19,0
EXPE,2023-08-13,2023-08-19,0
MCHP,2023-08-13,2023-08-19,0.47
VRSN,2023-08-13,2023-08-19,0.07
XLNX,2023-08-13,2023-08-19,0
BKNG,2023-08-13,2023-08-19,0.62
MXIM,2023-08-13,2023-08-19,0
PAYC,2023-08-13,2023-08-19,0
CTAS,2023-08-13,2023-08-19,0.1
TECH,2023-08-13,2023-08-19,0
WDAY,2023-08-13,2023-08-19,0
AAPL,2023-08-20,2023-08-26,0
MSFT,2023-08-20,2023-08-26,0.0
GOOG,2023-08-20,2023-08-26,0
AMZN,2023-08-20,2023-08-26,0.28
TSLA,2023-08-20,2023-08-26,0
META,2023-08-20,2023-08-26,0
NVDA,2023-08-20,2023-08-26,0.07
NFLX,2023-08-20,2023-08-26,0
PEP,2023-08-20,2023-08-26,0
ADBE,2023-08-20,2023-08-26,0
INTC,2023-08-20,2023-08-26,0
CSCO,2023-08-20,2023-08-26,0
CMCSA,2023-08-20,2023-08-26,0
AVGO,2023-08-20,2023-08-26,0.39
PYPL,2023-08-20,2023-08-26,0
TXN,2023-08-20,2023-08-26,0
COST,2023-08-20,2023-08-26,0
QCOM,2023-08-20,2023-08-26,0
AMGN,2023-08-20,2023-08-26,0.32
SBUX,2023-08-20,2023-08-26,0
AMD,2023-08-20,2023-08-26,0
HON,2023-08-20,2023-08-26,0.04
GILD,2023-08-20,2023-08-26,0
ISRG,2023-08-20,2023-08-26,0
BKNG,2023-08-20,2023-08-26,0
ADP,2023-08-20,2023-08-26,0
MDLZ,2023-08-20,2023-08-26,0
VRTX,2023-08-20,2023-08-26,0
REGN,2023-08-20,2023-08-26,0
LRCX,2023-08-20,2023-08-26,-0.03
FISV,2023-08-20,2023-08-26,0
INTU,2023-08-20,2023-08-26,0.68
MRNA,2023-08-20,2023-08-26,0
MU,2023-08-20,2023-08-26,0
ZM,2023-08-20,2023-08-26,0.27
IDXX,2023-08-20,2023-08-26,0
ASML,2023-08-20,2023-08-26,0
ATVI,2023-08-20,2023-08-26,0
KHC,2023-08-20,2023-08-26,0
BIIB,2023-08-20,2023-08-26,0
MELI,2023-08-20,2023-08-26,0
DOCU,2023-08-20,2023-08-26,0
ADSK,2023-08-20,2023-08-26,0
EA,2023-08-20,2023-08-26,0
WDAY,2023-08-20,2023-08-26,0.65
SNPS,2023-08-20,2023-08-26,0
ILMN,2023-08-20,2023-08-26,0
ROST,2023-08-20,2023-08-26,0
CTAS,2023-08-20,2023-08-26,0
EBAY,2023-08-20,2023-08-26,0.27
KLAC,2023-08-20,2023-08-26,0
MNST,2023-08-20,2023-08-26,0
CDNS,2023-08-20,2023-08-26,0
CTSH,2023-08-20,2023-08-26,0
ORLY,2023-08-20,2023-08-26,0
DLTR,2023-08-20,2023-08-26,0
LULU,2023-08-20,2023-08-26,0.0
FAST,2023-08-20,2023-08-26,0
XEL,2023-08-20,2023-08-26,0
CTXS,2023-08-20,2023-08-26,0
NXPI,2023-08-20,2023-08-26,0.0
PCAR,2023-08-20,2023-08-26,0
SIRI,2023-08-20,2023-08-26,0
MAR,2023-08-20,2023-08-26,0
SGEN,2023-08-20,2023-08-26,0
EXC,2023-08-20,2023-08-26,0
ODFL,2023-08-20,2023-08-26,0.61
PAYX,2023-08-20,2023-08-26,0
ALGN,2023-08-20,2023-08-26,0.0
SWKS,2023-08-20,2023-08-26,0
TEAM,2023-08-20,2023-08-26,0
WBA,2023-08-20,2023-08-26,0
ADI,2023-08-20,2023-08-26,0
VRSK,2023-08-20,2023-08-26,0
CDW,2023-08-20,2023-08-26,0
BIDU,2023-08-20,2023-08-26,0
CHTR,2023-08-20,2023-08-26,0
VRSN,2023-08-20,2023-08-26,0
INCY,2023-08-20,2023-08-26,0
WDAY,2023-08-20,2023-08-26,0.43
ANSS,2023-08-20,2023-08-26,0
CPRT,2023-08-20,2023-08-26,0.34
UAL,2023-08-20,2023-08-26,0
TTWO,2023-08-20,2023-08-26,0.36
REG,2023-08-20,2023-08-26,0
HPE,2023-08-20,2023-08-26,0
EXPE,2023-08-20,2023-08-26,0
MCHP,2023-08-20,2023-08-26,0
VRSN,2023-08-20,2023-08-26,0
XLNX,2023-08-20,2023-08-26,0
BKNG,2023-08-20,2023-08-26,0
MXIM,2023-08-20,2023-08-26,0
PAYC,2023-08-20,2023-08-26,0
CTAS,2023-08-20,2023-08-26,0
TECH,2023-08-20,2023-08-26,0
WDAY,2023-08-20,2023-08-26,0.43
AAPL,2023-08-27,2023-09-02,0.37
MSFT,2023-08-27,2023-09-02,0
GOOG,2023-08-27,2023-09-02,0
AMZN,2023-08-27,2023-09-02,0.0
TSLA,2023-08-27,2023-09-02,0
META,2023-08-27,2023-09-02,0
NVDA,2023-08-27,2023-09-02,0.33
NFLX,2023-08-27,2023-09-02,0
PEP,2023-08-27,2023-09-02,0
ADBE,2023-08-27,2023-09-02,0
INTC,2023-08-27,2023-09-02,0
CSCO,2023-08-27,2023-09-02,0
CMCSA,2023-08-27,2023-09-02,-0.36
AVGO,2023-08-27,2023-09-02,0.36
PYPL,2023-08-27,2023-09-02,0
TXN,2023-08-27,2023-09-02,0
COST,2023-08-27,2023-09-02,0
QCOM,2023-08-27,2023-09-02,0
AMGN,2023-08-27,2023-09-02,0
SBUX,2023-08-27,2023-09-02,0
AMD,2023-08-27,2023-09-02,0.09
HON,2023-08-27,2023-09-02,0.0
GILD,2023-08-27,2023-09-02,0
ISRG,2023-08-27,2023-09-02,0
BKNG,2023-08-27,2023-09-02,0
ADP,2023-08-27,2023-09-02,0
MDLZ,2023-08-27,2023-09-02,0
VRTX,2023-08-27,2023-09-02,0
REGN,2023-08-27,2023-09-02,0
LRCX,2023-08-27,2023-09-02,0
FISV,2023-08-27,2023-09-02,0
INTU,2023-08-27,2023-09-02,-0.0
MRNA,2023-08-27,2023-09-02,0
MU,2023-08-27,2023-09-02,0
ZM,2023-08-27,2023-09-02,0.08
IDXX,2023-08-27,2023-09-02,0
ASML,2023-08-27,2023-09-02,0
ATVI,2023-08-27,2023-09-02,0
KHC,2023-08-27,2023-09-02,0
BIIB,2023-08-27,2023-09-02,-0.01
MELI,2023-08-27,2023-09-02,0
DOCU,2023-08-27,2023-09-02,0
ADSK,2023-08-27,2023-09-02,0
EA,2023-08-27,2023-09-02,0
WDAY,2023-08-27,2023-09-02,0
SNPS,2023-08-27,2023-09-02,0.23
ILMN,2023-08-27,2023-09-02,0
ROST,2023-08-27,2023-09-02,0.56
CTAS,2023-08-27,2023-09-02,0
EBAY,2023-08-27,2023-09-02,0
KLAC,2023-08-27,2023-09-02,0
MNST,2023-08-27,2023-09-02,0
CDNS,2023-08-27,2023-09-02,0.14
CTSH,2023-08-27,2023-09-02,0
ORLY,2023-08-27,2023-09-02,0
DLTR,2023-08-27,2023-09-02,0
LULU,2023-08-27,2023-09-02,0
FAST,2023-08-27,2023-09-02,0
XEL,2023-08-27,2023-09-02,0
CTXS,2023-08-27,2023-09-02,0
NXPI,2023-08-27,2023-09-02,0
PCAR,2023-08-27,2023-09-02,0
SIRI,2023-08-27,2023-09-02,0
MAR,2023-08-27,2023-09-02,0.0
SGEN,2023-08-27,2023-09-02,0
EXC,2023-08-27,2023-09-02,0.02
ODFL,2023-08-27,2023-09-02,0
PAYX,2023-08-27,2023-09-02,0
ALGN,2023-08-27,2023-09-02,0
SWKS,2023-08-27,2023-09-02,0
TEAM,2023-08-27,2023-09-02,0
WBA,2023-08-27,2023-09-02,0
ADI,2023-08-27,2023-09-02,0.52
VRSK,2023-08-27,2023-09-02,0
CDW,2023-08-27,2023-09-02,0
BIDU,2023-08-27,2023-09-02,0
CHTR,2023-08-27,2023-09-02,0
VRSN,2023-08-27,2023-09-02,0
INCY,2023-08-27,2023-09-02,0.0
WDAY,2023-08-27,2023-09-02,0
ANSS,2023-08-27,2023-09-02,0
CPRT,2023-08-27,2023-09-02,0
UAL,2023-08-27,2023-09-02,0.37
TTWO,2023-08-27,2023-09-02,0
REG,2023-08-27,2023-09-02,0
HPE,2023-08-27,2023-09-02,0
EXPE,2023-08-27,2023-09-02,0.6
MCHP,2023-08-27,2023-09-02,0
