ticker,start_date,end_date,sentiment_score
ISRG,2025-05-07,2025-05-13,0
BKNG,2025-05-07,2025-05-13,0
ADP,2025-05-07,2025-05-13,0
MDLZ,2025-05-07,2025-05-13,0
VRTX,2025-05-07,2025-05-13,0
REGN,2025-05-07,2025-05-13,0.0
LRCX,2025-05-07,2025-05-13,0
FISV,2025-05-07,2025-05-13,0.31
INTU,2025-05-07,2025-05-13,0
MRNA,2025-05-07,2025-05-13,0
MU,2025-05-07,2025-05-13,0.34
ZM,2025-05-07,2025-05-13,0
IDXX,2025-05-07,2025-05-13,0
ASML,2025-05-07,2025-05-13,0
ATVI,2025-05-07,2025-05-13,0
KHC,2025-05-07,2025-05-13,0
BIIB,2025-05-07,2025-05-13,0
MELI,2025-05-07,2025-05-13,0
DOCU,2025-05-07,2025-05-13,0
ADSK,2025-05-07,2025-05-13,0
EA,2025-05-07,2025-05-13,0
WDAY,2025-05-07,2025-05-13,0
SNPS,2025-05-07,2025-05-13,0.16
ILMN,2025-05-07,2025-05-13,0.09
ROST,2025-05-07,2025-05-13,0.18
CTAS,2025-05-07,2025-05-13,0
EBAY,2025-05-07,2025-05-13,0
KLAC,2025-05-07,2025-05-13,0
MNST,2025-05-07,2025-05-13,0
CDNS,2025-05-07,2025-05-13,0.07
CTSH,2025-05-07,2025-05-13,0
ORLY,2025-05-07,2025-05-13,0
DLTR,2025-05-07,2025-05-13,0
LULU,2025-05-07,2025-05-13,0.1
FAST,2025-05-07,2025-05-13,0
XEL,2025-05-07,2025-05-13,0
CTXS,2025-05-07,2025-05-13,0
NXPI,2025-05-07,2025-05-13,0
PCAR,2025-05-07,2025-05-13,0
SIRI,2025-05-07,2025-05-13,0
MAR,2025-05-07,2025-05-13,0.0
SGEN,2025-05-07,2025-05-13,0
EXC,2025-05-07,2025-05-13,0
ODFL,2025-05-07,2025-05-13,0
PAYX,2025-05-07,2025-05-13,0
ALGN,2025-05-07,2025-05-13,0
SWKS,2025-05-07,2025-05-13,0.0
TEAM,2025-05-07,2025-05-13,0
WBA,2025-05-07,2025-05-13,0.85
ADI,2025-05-07,2025-05-13,0.12
VRSK,2025-05-07,2025-05-13,0.25
CDW,2025-05-07,2025-05-13,0
BIDU,2025-05-07,2025-05-13,0
CHTR,2025-05-07,2025-05-13,0
VRSN,2025-05-07,2025-05-13,0
INCY,2025-05-07,2025-05-13,0
WDAY,2025-05-07,2025-05-13,0
ANSS,2025-05-07,2025-05-13,0
CPRT,2025-05-07,2025-05-13,0.16
UAL,2025-05-07,2025-05-13,0
TTWO,2025-05-07,2025-05-13,0.25
REG,2025-05-07,2025-05-13,0
HPE,2025-05-07,2025-05-13,0
EXPE,2025-05-07,2025-05-13,0
MCHP,2025-05-07,2025-05-13,0
VRSN,2025-05-07,2025-05-13,0
XLNX,2025-05-07,2025-05-13,0
BKNG,2025-05-07,2025-05-13,0
MXIM,2025-05-07,2025-05-13,0
PAYC,2025-05-07,2025-05-13,0.52
CTAS,2025-05-07,2025-05-13,0
TECH,2025-05-07,2025-05-13,0
WDAY,2025-05-07,2025-05-13,0.15
AAPL,2025-05-14,2025-05-20,0.66
MSFT,2025-05-14,2025-05-20,0
GOOG,2025-05-14,2025-05-20,0
AMZN,2025-05-14,2025-05-20,0
TSLA,2025-05-14,2025-05-20,0
META,2025-05-14,2025-05-20,0.27
NVDA,2025-05-14,2025-05-20,0
NFLX,2025-05-14,2025-05-20,0
PEP,2025-05-14,2025-05-20,0
ADBE,2025-05-14,2025-05-20,0
INTC,2025-05-14,2025-05-20,0
CSCO,2025-05-14,2025-05-20,0
CMCSA,2025-05-14,2025-05-20,0
AVGO,2025-05-14,2025-05-20,0
PYPL,2025-05-14,2025-05-20,0
TXN,2025-05-14,2025-05-20,0
COST,2025-05-14,2025-05-20,0
QCOM,2025-05-14,2025-05-20,0
AMGN,2025-05-14,2025-05-20,0
SBUX,2025-05-14,2025-05-20,0
AMD,2025-05-14,2025-05-20,0
HON,2025-05-14,2025-05-20,0
GILD,2025-05-14,2025-05-20,0
ISRG,2025-05-14,2025-05-20,0.5
BKNG,2025-05-14,2025-05-20,0
ADP,2025-05-14,2025-05-20,0
MDLZ,2025-05-14,2025-05-20,0
VRTX,2025-05-14,2025-05-20,0.42
REGN,2025-05-14,2025-05-20,0
LRCX,2025-05-14,2025-05-20,0.48
FISV,2025-05-14,2025-05-20,0
INTU,2025-05-14,2025-05-20,0
MRNA,2025-05-14,2025-05-20,0.78
MU,2025-05-14,2025-05-20,0.09
ZM,2025-05-14,2025-05-20,0
IDXX,2025-05-14,2025-05-20,0
ASML,2025-05-14,2025-05-20,0
ATVI,2025-05-14,2025-05-20,0
KHC,2025-05-14,2025-05-20,0
BIIB,2025-05-14,2025-05-20,0
MELI,2025-05-14,2025-05-20,0
DOCU,2025-05-14,2025-05-20,0
ADSK,2025-05-14,2025-05-20,0.0
EA,2025-05-14,2025-05-20,0
WDAY,2025-05-14,2025-05-20,0
SNPS,2025-05-14,2025-05-20,0
ILMN,2025-05-14,2025-05-20,0
ROST,2025-05-14,2025-05-20,0
CTAS,2025-05-14,2025-05-20,0
EBAY,2025-05-14,2025-05-20,0
KLAC,2025-05-14,2025-05-20,0
MNST,2025-05-14,2025-05-20,0
CDNS,2025-05-14,2025-05-20,0.48
CTSH,2025-05-14,2025-05-20,0
ORLY,2025-05-14,2025-05-20,0
DLTR,2025-05-14,2025-05-20,0.27
LULU,2025-05-14,2025-05-20,0.64
FAST,2025-05-14,2025-05-20,0
XEL,2025-05-14,2025-05-20,0
CTXS,2025-05-14,2025-05-20,0
NXPI,2025-05-14,2025-05-20,0
PCAR,2025-05-14,2025-05-20,0
SIRI,2025-05-14,2025-05-20,0
MAR,2025-05-14,2025-05-20,0.22
SGEN,2025-05-14,2025-05-20,0
EXC,2025-05-14,2025-05-20,0
ODFL,2025-05-14,2025-05-20,0
PAYX,2025-05-14,2025-05-20,0.69
ALGN,2025-05-14,2025-05-20,0
SWKS,2025-05-14,2025-05-20,0
TEAM,2025-05-14,2025-05-20,0
WBA,2025-05-14,2025-05-20,0
ADI,2025-05-14,2025-05-20,0.12
VRSK,2025-05-14,2025-05-20,0
CDW,2025-05-14,2025-05-20,0
BIDU,2025-05-14,2025-05-20,0.46
CHTR,2025-05-14,2025-05-20,0.24
VRSN,2025-05-14,2025-05-20,0
INCY,2025-05-14,2025-05-20,0
